original_link,section,link
https://www.hooktheory.com/theorytab/view/a-mei/have-you-heard-lately,pre-chorus,https://hookpad.hooktheory.com?idOfSong=yvmrZNjZmOW&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-mei/have-you-heard-lately,chorus,https://hookpad.hooktheory.com?idOfSong=lamkRqVMoDM&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-mei/hostage,verse,https://hookpad.hooktheory.com?idOfSong=VMgJp-JyoqK&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-mei/hostage,chorus,https://hookpad.hooktheory.com?idOfSong=ZwxKpXQZoed&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-mei/i-want-happiness,verse,https://hookpad.hooktheory.com?idOfSong=kwxApJrWgKG&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-mei/i-want-happiness,pre-chorus,https://hookpad.hooktheory.com?idOfSong=yvmrZrPZmOW&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-mei/i-want-happiness,chorus,https://hookpad.hooktheory.com?idOfSong=d_gwKzwegGV&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-mei/left-behind,verse,https://hookpad.hooktheory.com?idOfSong=yvmrRYLJmOW&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-mei/left-behind,pre-chorus,https://hookpad.hooktheory.com?idOfSong=KexElEVLg_B&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-mei/left-behind,chorus,https://hookpad.hooktheory.com?idOfSong=lamk-BRYxDM&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-mei/left-behind,bridge,https://hookpad.hooktheory.com?idOfSong=RPxeYMvPxb_&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-mei/listen-to-the-sea,verse,https://hookpad.hooktheory.com?idOfSong=veoYzQkzmdn&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-mei/listen-to-the-sea,chorus,https://hookpad.hooktheory.com?idOfSong=RzojbDyNoDe&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-mei/matriarchy,verse,https://hookpad.hooktheory.com?idOfSong=nJmBlZMXxAV&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-mei/matriarchy,pre-chorus,https://hookpad.hooktheory.com?idOfSong=AaoGlAbEmeQ&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-mei/matriarchy,chorus,https://hookpad.hooktheory.com?idOfSong=Abm_avBJxak&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-mei/maybe-tomorrow,verse,https://hookpad.hooktheory.com?idOfSong=d_gwKnWVgGV&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-mei/maybe-tomorrow,pre-chorus,https://hookpad.hooktheory.com?idOfSong=lamkRJGeoDM&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-mei/maybe-tomorrow,chorus,https://hookpad.hooktheory.com?idOfSong=ANmpMGq-gyM&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-mei/my-dearest,verse,https://hookpad.hooktheory.com?idOfSong=nLgapGBdmYp&amp;enableYouTube=false&amp;openBandEditorOnInit=true
